,ti,ni,cu,fe,pd,co,mn,cr,nb,zr,hf,hp,ref
130,47.5013,48.4987,0,0,0,0,0,0,4,0,0,57.25,87
131,46.5116,47.4884,0,0,0,0,0,0,6,0,0,61.79,87
132,45.0272,45.9728,0,0,0,0,0,0,9,0,0,37.18,87
133,47.9804,50.0196,0,0,0,0,0,0,2,0,0,26.89,87
134,47.0012,48.9988,0,0,0,0,0,0,4,0,0,48.43,87
135,46.022,47.978,0,0,0,0,0,0,6,0,0,39.95,87
136,44.5532,46.4468,0,0,0,0,0,0,9,0,0,21.67,87
137,47.4691,50.5309,0,0,0,0,0,0,2,0,0,-44.53,87
138,46.5004,49.4996,0,0,0,0,0,0,4,0,0,21.875,87
139,45.5316,48.4684,0,0,0,0,0,0,6,0,0,20.57,87
140,44.0785,46.9215,0,0,0,0,0,0,9,0,0,-1.56,87
141,46.0012,49.9988,0,0,0,0,0,0,4,0,0,-23.71,87
142,45.0429,48.9571,0,0,0,0,0,0,6,0,0,5.93,87
143,43.6053,47.3947,0,0,0,0,0,0,9,0,0,-28.22,87
144,46.5,48.5,0,0,0,0,0,0,0,5,0,121.11,96
145,41.5,48.5,0,0,0,0,0,0,0,10,0,150.95,96
146,36.5,48.5,0,0,0,0,0,0,0,15,0,225.22,96
147,31.5,48.5,0,0,0,0,0,0,0,20,0,321.01,96
148,26.5,48.5,0,0,0,0,0,0,0,25,0,451.11,96
149,45.5,49.5,0,0,0,0,0,0,0,5,0,114.11,96
150,40.5,49.5,0,0,0,0,0,0,0,10,0,142.35,96
151,35.5,49.5,0,0,0,0,0,0,0,15,0,208.24,96
152,30.5,49.5,0,0,0,0,0,0,0,20,0,294.12,96
153,32.5,50,0,0,0,0,0,0,0,0,17.5,177.7,0
154,34.7,50.3,0,0,0,0,0,0,0,0,15,77.34,13
155,29.7,50.3,0,0,0,0,0,0,0,0,20,141.12,15
156,49.2,40.8,10,0,0,0,0,0,0,0,0,-3.6,0
157,29.7,50.3,0,0,0,0,0,0,0,20,0,72.21,15
158,50.5,48.5,0,0,0,1,0,0,0,0,0,84.7,0
159,50.5,47.5,0,0,0,2,0,0,0,0,0,62.4,0
160,49.2,49.8,0,0,0,1,0,0,0,0,0,-29.5,0
161,49.2,48.8,0,0,0,2,0,0,0,0,0,-40,0
162,50.5,45.5,0,0,0,4,0,0,0,0,0,37.8,0
163,49.2,44.8,6,0,0,0,0,0,0,0,0,-21.8,0
164,48.4,51.1,0,0,0,0,0,0.5,0,0,0,-10.91,99
165,50.24,49.31,0,0,0,0,0,0.45,0,0,0,42.39,100
166,50.34,48.17,0,0,0,0,0,1.49,0,0,0,-15.05,100
167,49.7,48.02,0,0,0,0,0,2.28,0,0,0,-59.09,100
168,51.8,45,0,3.2,0,0,0,0,0,0,0,-10.04,101
169,50,48,0,2,0,0,0,0,0,0,0,7.44,102
170,49.5,48.5,0,2,0,0,0,0,0,0,0,-41.93,102
171,51,49,0,0,0,0,0,0,0,0,0,113,103
172,50.5,49.5,0,0,0,0,0,0,0,0,0,105.86,104
173,50.5,24.5,0,0,25,0,0,0,0,0,0,186.15,105
174,50.3,24.7,0,0,25,0,0,0,0,0,0,196.09,106
175,49.7,25.3,0,0,25,0,0,0,0,0,0,126.13,106
176,50.3,33.7,0,0,16,0,0,0,0,0,0,106.05,107
177,30.875,47.5,0,0,0,0,0,0,5,0,16.625,255.6,0
178,29.9,46,0,0,0,0,0,0,8,0,16.1,243.2,0
179,29.25,45,0,0,0,0,0,0,10,0,15.75,254.4,0
180,27.625,42.5,0,0,0,0,0,0,15,0,14.875,205.1,0
181,26,40,0,0,0,0,0,0,20,0,14,210.4,0
182,24.375,37.5,0,0,0,0,0,0,25,0,13.125,197.5,0
183,49,43.35,0,0.675,2.475,0,0,0,4.5,0,0,-5.38,0
184,49,44.88,0,0.54,1.98,0,0,0,3.6,0,0,13.25,0
185,45.24,49,0,0,0,0,0,0,0,0,5.76,133.99145,0
186,50,49,0,0.4,0.6,0,0,0,0,0,0,76.52066,0
187,48.5,50.985,0,0,0.17,0,0,0.075,0.27,0,0,-65.75,0
